"city","city_code","distance_bin","r_mid_km","f_r","p_r","pi_r"
"London","LDN","[0.0, 0.5)","0.25","731451","126","5805.16666666667"
"London","LDN","[0.5, 1.0)","0.75","11376543","691","16463.8827785818"
"London","LDN","[1.0, 1.5)","1.25","28785627","1126","25564.5"
"London","LDN","[1.5, 2.0)","1.75","40450457","1373","29461.3670793882"
"London","LDN","[2.0, 2.5)","2.25","46309088","1752","26432.1278538813"
"London","LDN","[2.5, 3.0)","2.75","45221146","1942","23285.8630278064"
"London","LDN","[3.0, 3.5)","3.25","58060788","2321","25015.4192158552"
"London","LDN","[3.5, 4.0)","3.75","51682437","2611","19794.1160474914"
"London","LDN","[4.0, 4.5)","4.25","50612182","2857","17715.1494574729"
"London","LDN","[4.5, 5.0)","4.75","51434562","3088","16656.2700777202"
"London","LDN","[5.0, 5.5)","5.25","46125923","3309","13939.5355092173"
"London","LDN","[5.5, 6.0)","5.75","42671871","3510","12157.2282051282"
"London","LDN","[6.0, 6.5)","6.25","47822418","3549","13474.899408284"
"London","LDN","[6.5, 7.0)","6.75","40316440","3754","10739.5950985615"
"London","LDN","[7.0, 7.5)","7.25","36237645","3675","9860.58367346939"
"London","LDN","[7.5, 8.0)","7.75","38033911","3815","9969.57038007864"
"London","LDN","[8.0, 8.5)","8.25","32526066","3856","8435.18309128631"
"London","LDN","[8.5, 9.0)","8.75","33108872","3972","8335.56696878147"
"London","LDN","[9.0, 9.5)","9.25","36145419","3984","9072.6453313253"
"London","LDN","[9.5, 10.0)","9.75","30435760","4001","7607.03824043989"
"London","LDN","[10.0, 10.5)","10.25","27277343","4014","6795.55132037867"
"London","LDN","[10.5, 11.0)","10.75","25690307","3848","6676.27520790021"
"London","LDN","[11.0, 11.5)","11.25","29140037","3970","7340.059697733"
"London","LDN","[11.5, 12.0)","11.75","21592393","3928","5497.0450610998"
"London","LDN","[12.0, 12.5)","12.25","21327393","3879","5498.16782675947"
"London","LDN","[12.5, 13.0)","12.75","19990844","3798","5263.5186940495"
"London","LDN","[13.0, 13.5)","13.25","17224430","3742","4603.00106894709"
"London","LDN","[13.5, 14.0)","13.75","17012794","3517","4837.30281489906"
"London","LDN","[14.0, 14.5)","14.25","17305019","3652","4738.50465498357"
"London","LDN","[14.5, 15.0)","14.75","15124305","3447","4387.67188859878"
"London","LDN","[15.0, 15.5)","15.25","11498672","3256","3531.53316953317"
"London","LDN","[15.5, 16.0)","15.75","13407339","3142","4267.13526416295"
"London","LDN","[16.0, 16.5)","16.25","10062264","3088","3258.50518134715"
"London","LDN","[16.5, 17.0)","16.75","9394076","3013","3117.84799203452"
"London","LDN","[17.0, 17.5)","17.25","8335544","2844","2930.92264416315"
"London","LDN","[17.5, 18.0)","17.75","8463066","2755","3071.89328493648"
"London","LDN","[18.0, 18.5)","18.25","6916469","2634","2625.84244495065"
"London","LDN","[18.5, 19.0)","18.75","7021474","2516","2790.72893481717"
"London","LDN","[19.0, 19.5)","19.25","5869150","2483","2363.73338703182"
"London","LDN","[19.5, 20.0)","19.75","6298407","2470","2549.96234817814"
"London","LDN","[20.0, 20.5)","20.25","5590341","2132","2622.11116322702"
"London","LDN","[20.5, 21.0)","20.75","5102811","2229","2289.28263795424"
"London","LDN","[21.0, 21.5)","21.25","4158734","2090","1989.82488038278"
"London","LDN","[21.5, 22.0)","21.75","4078935","1969","2071.57694261046"
"London","LDN","[22.0, 22.5)","22.25","4343867","1856","2340.44558189655"
"London","LDN","[22.5, 23.0)","22.75","4413709","1790","2465.7592178771"
"London","LDN","[23.0, 23.5)","23.25","3566660","1722","2071.23112659698"
"London","LDN","[23.5, 24.0)","23.75","4365492","1686","2589.25978647687"
"London","LDN","[24.0, 24.5)","24.25","2979915","1479","2014.81744421907"
"London","LDN","[24.5, 25.0)","24.75","2618579","1451","1804.67195037905"
"London","LDN","[25.0, 25.5)","25.25","2871573","1448","1983.13052486188"
"London","LDN","[25.5, 26.0)","25.75","2723030","1285","2119.08949416342"
"London","LDN","[26.0, 26.5)","26.25","2226077","1219","1826.15012305168"
"London","LDN","[26.5, 27.0)","26.75","1832404","1136","1613.03169014085"
"London","LDN","[27.0, 27.5)","27.25","1749775","1086","1611.21086556169"
"London","LDN","[27.5, 28.0)","27.75","1678760","1047","1603.40019102197"
"London","LDN","[28.0, 28.5)","28.25","1277738","1029","1241.72789115646"
"London","LDN","[28.5, 29.0)","28.75","1166498","868","1343.89170506912"
"London","LDN","[29.0, 29.5)","29.25","965790","847","1140.2479338843"
"London","LDN","[29.5, 30.0)","29.75","920786","848","1085.83254716981"
"London","LDN","[30.0, 30.5)","30.25","910572","802","1135.37655860349"
"London","LDN","[30.5, 31.0)","30.75","664317","755","879.890066225166"
"London","LDN","[31.0, 31.5)","31.25","699064","714","979.081232492997"
"London","LDN","[31.5, 32.0)","31.75","807952","660","1224.1696969697"
"London","LDN","[32.0, 32.5)","32.25","719289","613","1173.39151712887"
"London","LDN","[32.5, 33.0)","32.75","440683","504","874.371031746032"
"London","LDN","[33.0, 33.5)","33.25","654294","556","1176.78776978417"
"London","LDN","[33.5, 34.0)","33.75","469445","505","929.594059405941"
"London","LDN","[34.0, 34.5)","34.25","667800","468","1426.92307692308"
"London","LDN","[34.5, 35.0)","34.75","522666","455","1148.71648351648"
"London","LDN","[35.0, 35.5)","35.25","366447","383","956.780678851175"
"London","LDN","[35.5, 36.0)","35.75","377216","397","950.166246851385"
"London","LDN","[36.0, 36.5)","36.25","347999","347","1002.87896253602"
"London","LDN","[36.5, 37.0)","36.75","353624","353","1001.76770538244"
"London","LDN","[37.0, 37.5)","37.25","393625","336","1171.50297619048"
"London","LDN","[37.5, 38.0)","37.75","337874","281","1202.39857651246"
"London","LDN","[38.0, 38.5)","38.25","255901","294","870.41156462585"
"London","LDN","[38.5, 39.0)","38.75","268279","243","1104.02880658436"
"London","LDN","[39.0, 39.5)","39.25","227334","243","935.530864197531"
"London","LDN","[39.5, 40.0)","39.75","328174","248","1323.28225806452"
"London","LDN","[40.0, 40.5)","40.25","230936","250","923.744"
"London","LDN","[40.5, 41.0)","40.75","253034","215","1176.9023255814"
"London","LDN","[41.0, 41.5)","41.25","112382","182","617.483516483516"
"London","LDN","[41.5, 42.0)","41.75","137312","174","789.149425287356"
"London","LDN","[42.0, 42.5)","42.25","145927","165","884.406060606061"
"London","LDN","[42.5, 43.0)","42.75","129768","176","737.318181818182"
"London","LDN","[43.0, 43.5)","43.25","45898","132","347.712121212121"
"London","LDN","[43.5, 44.0)","43.75","75145","152","494.375"
"London","LDN","[44.0, 44.5)","44.25","100170","138","725.869565217391"
"London","LDN","[44.5, 45.0)","44.75","55793","142","392.908450704225"
"London","LDN","[45.0, 45.5)","45.25","43836","115","381.182608695652"
"London","LDN","[45.5, 46.0)","45.75","61972","137","452.350364963504"
"London","LDN","[46.0, 46.5)","46.25","32606","123","265.089430894309"
"London","LDN","[46.5, 47.0)","46.75","50596","106","477.320754716981"
"London","LDN","[47.0, 47.5)","47.25","25896","99","261.575757575758"
"London","LDN","[47.5, 48.0)","47.75","50774","109","465.816513761468"
"London","LDN","[48.0, 48.5)","48.25","20694","95","217.831578947368"
"London","LDN","[48.5, 49.0)","48.75","36049","64","563.265625"
"London","LDN","[49.0, 49.5)","49.25","27148","99","274.222222222222"
"London","LDN","[49.5, 50.0)","49.75","40832","89","458.786516853933"
"London","LDN","[50.0, 50.5)","50.25","14440","64","225.625"
"London","LDN","[50.5, 51.0)","50.75","27232","64","425.5"
"London","LDN","[51.0, 51.5)","51.25","16316","66","247.212121212121"
"London","LDN","[51.5, 52.0)","51.75","16804","38","442.210526315789"
"London","LDN","[52.0, 52.5)","52.25","13062","58","225.206896551724"
"London","LDN","[52.5, 53.0)","52.75","24769","47","527"
"London","LDN","[53.0, 53.5)","53.25","7836","50","156.72"
"London","LDN","[53.5, 54.0)","53.75","23299","47","495.723404255319"
"London","LDN","[54.0, 54.5)","54.25","33376","46","725.565217391304"
"London","LDN","[54.5, 55.0)","54.75","7483","39","191.871794871795"
"London","LDN","[55.0, 55.5)","55.25","9766","39","250.410256410256"
"London","LDN","[55.5, 56.0)","55.75","99113","41","2417.39024390244"
"London","LDN","[56.0, 56.5)","56.25","4433","43","103.093023255814"
"London","LDN","[56.5, 57.0)","56.75","21909","49","447.122448979592"
"London","LDN","[57.0, 57.5)","57.25","16476","31","531.483870967742"
"London","LDN","[57.5, 58.0)","57.75","15558","33","471.454545454545"
"London","LDN","[58.0, 58.5)","58.25","16014","35","457.542857142857"
"London","LDN","[58.5, 59.0)","58.75","40032","52","769.846153846154"
"London","LDN","[59.0, 59.5)","59.25","24819","29","855.827586206897"
"London","LDN","[59.5, 60.0)","59.75","8899","28","317.821428571429"
"London","LDN","[60.0, 60.5)","60.25","19452","23","845.739130434783"
"London","LDN","[60.5, 61.0)","60.75","7349","28","262.464285714286"
"London","LDN","[61.0, 61.5)","61.25","8411","22","382.318181818182"
"London","LDN","[61.5, 62.0)","61.75","35495","34","1043.97058823529"
"London","LDN","[62.0, 62.5)","62.25","2530","9","281.111111111111"
"London","LDN","[62.5, 63.0)","62.75","5481","30","182.7"
"London","LDN","[63.0, 63.5)","63.25","1491","19","78.4736842105263"
"London","LDN","[63.5, 64.0)","63.75","8392","32","262.25"
"London","LDN","[64.0, 64.5)","64.25","3355","16","209.6875"
"London","LDN","[64.5, 65.0)","64.75","3728","22","169.454545454545"
"London","LDN","[65.0, 65.5)","65.25","2419","20","120.95"
"London","LDN","[65.5, 66.0)","65.75","1447","12","120.583333333333"
"London","LDN","[66.0, 66.5)","66.25","14590","27","540.37037037037"
"London","LDN","[66.5, 67.0)","66.75","2156","18","119.777777777778"
"London","LDN","[67.0, 67.5)","67.25","1820","12","151.666666666667"
"London","LDN","[67.5, 68.0)","67.75","9757","16","609.8125"
"London","LDN","[68.0, 68.5)","68.25","2728","14","194.857142857143"
"London","LDN","[68.5, 69.0)","68.75","1195","10","119.5"
"London","LDN","[69.0, 69.5)","69.25","5406","6","901"
"London","LDN","[69.5, 70.0)","69.75","1291","8","161.375"
"London","LDN","[70.0, 70.5)","70.25","911","8","113.875"
